,level_0,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
632,632,42,P.N.G.,Philippines,no result,,Port Moresby,"Mar 23, 2019",T20I # 760
633,633,43,Philippines,Vanuatu,Philippines,10 runs,Port Moresby,"Mar 24, 2019",T20I # 761
634,634,44,P.N.G.,Vanuatu,P.N.G.,10 wickets,Port Moresby,"Mar 24, 2019",T20I # 762
635,635,45,South Africa,Sri Lanka,South Africa,45 runs,Johannesburg,"Mar 24, 2019",T20I # 763
636,636,46,Spain,Malta,Spain,7 wickets,Cartagena,"Mar 29, 2019",T20I # 764
637,637,47,Spain,Malta,Spain,109 runs,Cartagena,"Mar 30, 2019",T20I # 765
638,638,48,Mexico,Belize,Belize,4 wickets,Naucalpan,"Apr 25, 2019",T20I # 766
639,639,49,Costa Rica,Panama,Panama,7 wickets,Naucalpan,"Apr 25, 2019",T20I # 767
640,640,50,Mexico,Costa Rica,Mexico,3 wickets,Naucalpan,"Apr 26, 2019",T20I # 768
641,641,51,Belize,Panama,Belize,9 runs,Naucalpan,"Apr 26, 2019",T20I # 769
642,642,52,Belize,Costa Rica,Belize,5 wickets,Naucalpan,"Apr 27, 2019",T20I # 771
643,643,53,Mexico,Panama,Panama,33 runs,Naucalpan,"Apr 27, 2019",T20I # 770
644,644,54,England,Pakistan,England,7 wickets,Cardiff,"May 5, 2019",T20I # 772
645,645,55,Belgium,Germany,Germany,9 runs,Waterloo,"May 11, 2019",T20I # 773
646,646,56,Belgium,Germany,Germany,62 runs,Waterloo,"May 11, 2019",T20I # 774
647,647,57,Belgium,Germany,Germany,6 wickets,Waterloo,"May 12, 2019",T20I # 775
648,648,58,Kenya,Nigeria,Kenya,8 wickets,Kampala,"May 20, 2019",T20I # 776
649,649,59,Ghana,Namibia,Namibia,9 wickets,Kampala,"May 20, 2019",T20I # 777
650,650,60,Uganda,Botswana,Uganda,52 runs,Kampala,"May 20, 2019",T20I # 778
651,651,61,Uganda,Namibia,Namibia,42 runs,Kampala,"May 21, 2019",T20I # 779
652,652,62,Botswana,Nigeria,Nigeria,11 runs,Kampala,"May 21, 2019",T20I # 780
653,653,63,Ghana,Kenya,Kenya,53 runs,Kampala,"May 21, 2019",T20I # 781
654,654,64,Ghana,Nigeria,Nigeria,28 runs,Kampala,"May 22, 2019",T20I # 782
655,655,65,Botswana,Namibia,Namibia,10 wickets,Kampala,"May 22, 2019",T20I # 783
656,656,66,Uganda,Kenya,Kenya,1 run,Kampala,"May 22, 2019",T20I # 784
657,657,67,Uganda,Ghana,Uganda,7 wickets,Kampala,"May 23, 2019",T20I # 785
658,658,68,Germany,Italy,Italy,7 wickets,Utrecht,"May 25, 2019",T20I # 786
659,659,69,Germany,Italy,Italy,6 wickets,Utrecht,"May 25, 2019",T20I # 787
660,660,70,Guernsey,Jersey,tied,,St Peter Port,"May 31, 2019",T20I # 788
661,661,71,Guernsey,Jersey,Jersey,41 runs,Castel,"Jun 1, 2019",T20I # 789
662,662,72,Guernsey,Jersey,Jersey,76 runs,Castel,"Jun 1, 2019",T20I # 790
663,663,73,Guernsey,Jersey,Jersey,8 wickets,Castel,"Jun 15, 2019",T20I # 791
664,664,74,Italy,Norway,Italy,20 runs,St Peter Port,"Jun 15, 2019",T20I # 792
665,665,75,Guernsey,Germany,Germany,5 wickets,Castel,"Jun 15, 2019",T20I # 793
666,666,76,Germany,Italy,Italy,5 wickets,St Peter Port,"Jun 16, 2019",T20I # 794
667,667,77,Denmark,Jersey,Jersey,18 runs,Castel,"Jun 16, 2019",T20I # 795
668,668,78,Guernsey,Italy,Italy,11 runs,St Peter Port,"Jun 16, 2019",T20I # 796
669,669,79,Jersey,Norway,Jersey,80 runs,Castel,"Jun 16, 2019",T20I # 797
670,670,80,Denmark,Norway,Denmark,46 runs,Castel,"Jun 17, 2019",T20I # 798
671,671,81,Guernsey,Denmark,no result,,Castel,"Jun 18, 2019",T20I # 799
672,672,82,Denmark,Italy,no result,,Castel,"Jun 18, 2019",T20I # 800
673,673,83,Guernsey,Norway,Guernsey,4 wickets,Castel,"Jun 19, 2019",T20I # 801
674,674,84,Italy,Jersey,Jersey,73 runs,St Peter Port,"Jun 19, 2019",T20I # 802
675,675,85,Denmark,Germany,Germany,7 wickets,Castel,"Jun 19, 2019",T20I # 803
676,676,86,Guernsey,Denmark,Guernsey,6 runs,Castel,"Jun 20, 2019",T20I # 804
677,677,87,Germany,Norway,Germany,7 wickets,St Peter Port,"Jun 20, 2019",T20I # 805
678,678,88,Denmark,Italy,Denmark,30 runs,Castel,"Jun 20, 2019",T20I # 806
679,679,89,Germany,Jersey,Germany,3 wickets,St Peter Port,"Jun 20, 2019",T20I # 807
680,680,90,Netherlands,Zimbabwe,Netherlands,49 runs,Rotterdam,"Jun 23, 2019",T20I # 808
681,681,91,Malaysia,Thailand,Malaysia,5 wickets,Kuala Lumpur,"Jun 24, 2019",T20I # 809
682,682,92,Malaysia,Maldives,Malaysia,73 runs,Kuala Lumpur,"Jun 25, 2019",T20I # 810
683,683,93,Netherlands,Zimbabwe,tied,,Rotterdam,"Jun 25, 2019",T20I # 811
684,684,94,Maldives,Thailand,Maldives,2 wickets,Kuala Lumpur,"Jun 26, 2019",T20I # 812
685,685,95,Malaysia,Thailand,Malaysia,8 wickets,Kuala Lumpur,"Jun 27, 2019",T20I # 813
686,686,96,Malaysia,Maldives,no result,,Kuala Lumpur,"Jun 28, 2019",T20I # 814
687,687,97,Maldives,Thailand,Thailand,5 wickets,Kuala Lumpur,"Jun 29, 2019",T20I # 815
688,688,98,Qatar,Kuwait,Kuwait,7 wickets,Doha,"Jul 4, 2019",T20I # 816
689,689,99,Qatar,Kuwait,tied,,Doha,"Jul 5, 2019",T20I # 817
690,690,100,Qatar,Kuwait,Qatar,3 wickets,Doha,"Jul 6, 2019",T20I # 818
691,691,101,Samoa,P.N.G.,P.N.G.,9 wickets,Apia (No 1),"Jul 8, 2019",T20I # 819
692,692,102,P.N.G.,Vanuatu,P.N.G.,3 wickets,Apia (No 3),"Jul 9, 2019",T20I # 820
693,693,103,Samoa,Vanuatu,Samoa,2 wickets,Apia (No 1),"Jul 9, 2019",T20I # 821
694,694,104,Samoa,P.N.G.,P.N.G.,7 wickets,Apia (No 2),"Jul 10, 2019",T20I # 822
695,695,105,Samoa,Vanuatu,Vanuatu,32 runs,Apia (No 3),"Jul 12, 2019",T20I # 823
696,696,106,P.N.G.,Vanuatu,P.N.G.,59 runs,Apia (No 2),"Jul 12, 2019",T20I # 824
697,697,107,Ireland,Zimbabwe,Ireland,9 wickets,Bready,"Jul 12, 2019",T20I # 825
698,698,108,P.N.G.,Vanuatu,P.N.G.,32 runs,Apia (No 2),"Jul 13, 2019",T20I # 826
699,699,109,Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,"Jul 13, 2019",T20I # 827
700,700,110,Denmark,Finland,Denmark,1 run,Brondby,"Jul 13, 2019",T20I # 828
701,701,111,Denmark,Finland,Denmark,38 runs,Brondby,"Jul 13, 2019",T20I # 829
702,702,112,Malaysia,Nepal,Nepal,6 runs,Kuala Lumpur,"Jul 14, 2019",T20I # 830
703,703,113,Ireland,Zimbabwe,Zimbabwe,8 wickets,Bready,"Jul 14, 2019",T20I # 831
